,Soil Moisture,PH,Temperature,Humidity,Rain Level
0,4,8.09,38,40,21
1,4,7.86,38,39,21
2,4,8.06,37,40,21
3,4,8.19,37,40,21
4,4,8.08,37,41,21
5,4,8.19,37,41,21
